"SpID","SpeciesID","Description","CommonName","Fishgut","FishgutPrey","LightTrap","Benthic","Drift","Sticky","Pitfall","Malaise","RegressionA","RegressionB","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","Species","Habitat","Stage","FFG","MHBI","Notes","Group","BenthicID","DriftID","AFDM_Multiplier"
102,"NOBU","NOBU: NOBU: NOBU NOBU","Empty sample",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","NOBU","NOBU","NOBU","NOBU","NOBU",,,,,,"NOBU",38.00,31.00,
103,"DRAA","Odonata (Adult)","dragonfly",0,0,0,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Odonata","Anisoptera (Suborder)",,,,"Aquatic","Adult",,,,"AQODON",,,
104,"DRAL","Odonata (larva)","",0,0,0,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Odonata","Anisoptera (Suborder)",,,,"Aquatic","larva",,,,"AQODON",,,
105,"DAMA","Odonata (Adult)","damselfly",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Odonata","Zygoptera (Suborder)",,,,"Aquatic","Adult",,,,"AQODON",,,
106,"DAML","Odonata (larva)","",0,1,0,1,0,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Odonata","Zygoptera (Suborder)",,,,"Aquatic","larva","Predator",,,"AQODON",35.00,,0.00
107,"ANN","Annelida","Earthworm (generic)",0,1,1,1,1,0,0,0,6.8e-03,2.28,"Animalia","Annelida",,,,,,,"Aquatic",,,,,"AQMISC",8.00,8.00,1.00
108,"LUMB","Lumbriculida: Lumbriculidae","""Olig b"" (freshwater worm)",0,1,0,1,1,0,0,0,0.01,1.04,"Animalia","Annelida","Clitellata","Lumbriculida",,"Lumbriculidae",,,"Aquatic",,,,,"AQMISC",1.00,1.00,1.00
109,"ORTH","Orthoptera","grasshopper, cricket, katydid",0,1,1,1,1,0,1,0,,,"Animalia","Arthropoda","Insecta","Orthoptera",,,,,"Terrestrial",,"Herbivore",,,"TEORTH",,,
110,"OSTR","Ostracoda","Ostracod zooplankton",0,0,0,1,1,0,0,0,1.6e-03,4.24,"Animalia","Arthropoda","Ostracoda",,,,,,"Aquatic",,,,,"AQMISC",6.00,6.00,0.85
111,"PLAN","Tricladida: Planariidae","Flatworm (generic)",0,1,0,1,1,0,0,0,5.6e-03,2.19,"Animalia","Platyhelminthes","Rhabditophora","Tricladida",,"Planariidae",,,"Aquatic",,,,,"AQMISC",7.00,7.00,1.00
112,"TARD","Tardigrada","water bear, moss piglet",0,0,0,1,1,0,0,0,,,"Animalia","Tardigrada",,,,,,,"Aquatic",,,,"semiaquatic?","AQMISC",30.00,29.00,
113,"VERT","Chordata","Terrestrial vertebrate",0,0,0,0,0,0,0,0,,,"Animalia","Chordata",,,,,,,"Aquatic",,,,,"AQMISC",,,
114,"PLAT","Plants (terrestrial)","Plants (terrestrial)",0,1,0,0,1,0,0,0,,,"Plantae",,,,,,,,"Terrestrial",,,,,"TEPLAN",,,
115,"THYS","Thysanoptera","thrip",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Thysanoptera",,,,,"Terrestrial",,"Herbivore",,,"TETHYS",,,
116,"HYPL","Trichoptera: Hydropsychidae (Larva)","net-spinning caddisfly larvae",0,0,0,1,1,0,0,0,7.4e-03,2.66,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydropsychidae",,,"Aquatic","Larva","CollectorFilterer","4",,"AQTRIC",36.00,32.00,1.00
117,"HYDL","Trichoptera: Hydroptilidae (Larva)","purse-case caddisfly",0,0,0,1,1,0,0,0,0.16,1.00,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydroptilidae",,,"Aquatic","Larva","ScraperGrazer","4",,"AQTRIC",16.00,16.00,1.00
118,"HYDP","Trichoptera: Hydroptilidae (Pupa)","",0,0,0,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydroptilidae",,,"Aquatic","Pupa",,"4",,"AQTRIC",,,
119,"HYDA","Trichoptera: Hydroptilidae (Adult)","microcaddisfly adults",0,0,1,1,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydroptilidae",,,"Aquatic","Adult",,"4",,"AQTRIC",,,
120,"RHYL","Trichoptera: Rhyacophilidae: Rhyacophila spp. (Larva)","Caseless green caddisfly larvae",0,1,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Rhyacophilidae","Rhyacophila",,"Aquatic","Larva","Predator","1",,"AQTRIC",17.00,17.00,
121,"TRIL","Trichoptera (Larva)","",0,1,1,1,1,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Trichoptera",,,,,"Aquatic","Larva",,,,"AQTRIC",39.00,,0.00
122,"TRIA","Trichoptera (Adult)","caddisfly",0,1,1,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,,,,"Aquatic","Adult",,,,"AQTRIC",,,
123,"CICA","Hemiptera: Cicadidae","cicada",0,1,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadoidea","Cicadidae",,,"Terrestrial",,,,,"TEHEMI",,,
124,"PYRL","Lepidoptera: Pyralidae (Larva)","pyralid",0,0,0,1,0,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyraloidea","Pyralidae",,,"Terrestrial","Larva",,,,"TELEPI",34.00,,0.00
125,"TAMA","Coleoptera: Chrysomelidae: Diorhabda elongata-complex (Adult)","tamarisk beetle",0,1,1,0,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomeloidea","Chrysomelidae","Diorhabda","elongata-complex","Terrestrial","Adult","Herbivore",,,"TECOLE",,,
126,"TACA","Diptera: Tachinidae (Adult)","",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera","Oestroidea","Tachinidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
127,"SCIA","Diptera: Sciaridae (Adult)","Dark-winged fungus gnat",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Diptera","Sciaroidea","Sciaridae",,,"Terrestrial","Adult","Generalist",,,"TEDIPT",,,
128,"MUTA","Hymenoptera: Mutillidae","",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Hymenoptera","Pompiloidea","Mutillidae",,,"Terrestrial",,,,,"TEHYME",,,
129,"BLAT","Blattodea (Adult)","Cockroaches / termites",0,1,0,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Blattodea",,,,,"Terrestrial","Adult",,,,"TEBLAT",,,
130,"ISOP","Isopoda","isopods, pill bugs, roly-polys",0,1,0,1,1,0,1,0,,,"Animalia","Arthropoda","Malacostraca","Isopoda",,,,,"Terrestrial",,"Generalist",,,"TEISOP",,,
131,"STAA","Coleoptera: Staphylinidae (Adult)","Rove beetle",0,0,1,0,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Coleoptera","Staphylinoidea","Staphylinidae",,,"Terrestrial","Adult","PredatorWanderer",,"Semi-aquatic?","TECOLE",,,
132,"EMPA","Diptera: Empididae (Adult)","",0,1,1,0,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Empidoidea","Empididae",,,"Terrestrial","Adult",,,"Semi-aquatic?","TEDIPT",,,
133,"MIRA","Hemiptera: Miridae","",0,0,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Hemiptera",,"Miridae",,,"Terrestrial",,,,,"TEHEMI",,,
134,"TIPH","Hymenoptera: Tiphiidae","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Hymenoptera","Tiphioidea","Tiphiidae",,,"Terrestrial",,,,,"TEHYME",,,
160,"TICK","Ixodida (Adult)","Ticks, terrestrial mites",0,0,1,1,1,0,1,0,,,"Animalia","Arthropoda","Arachnida","Ixodida",,,,,"Terrestrial","Adult","Parasite",,,"TETICK",,,
168,"PACY","Coleoptera: Chrysomelidae: Pachybrachis spp. (Adult)","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomeloidea","Chrysomelidae","Pachybrachis",,"Terrestrial","Adult",,,,"TECOLE",,,
169,"CALP","Diptera: Caliphoridae (Adult)","Blow Fly",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera","Oestroidea","Caliphoridae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
171,"DROS","Diptera: Drosophilidae (Adult)","Vinegar Flies",0,0,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera","Ephydroidea","Drosophilidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
172,"SPHX","Lepidoptera: Sphingidae","Sphynx Moth",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Lepidoptera"," Bombycoidea","Sphingidae",,,"Terrestrial",,,,,"TELEPI",,,
173,"REDA","Hemiptera: Reduviidae","Assassin Bug",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Hemiptera",,"Reduviidae",,,"Terrestrial",,,,,"TEHEMI",,,
177,"PHEN","Coleoptera: Phengodidae (Adult)","Glowworm beetle",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Elateroidea","Phengodidae",,,"Terrestrial","Adult",,,,"TECOLE",,,
178,"HYPH","Coleoptera: Hydrophilidae (Adult)","Water scavenging beetle",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Hydrophiloidea","Hydrophilidae",,,"Aquatic","Adult","CollectorGatherer","5",,"AQCOLE",,,
179,"NOCT","Lepidoptera: Noctuidae","Owlet moths",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuoidea","Noctuidae",,,"Terrestrial",,,,,"TELEPI",,,
180,"HELE","Diptera: Heleomyzidae (Adult)","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Heleomyzidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
181,"MANI","Neuroptera: Mantispidae","Mantid flies",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Neuroptera",,"Mantispidae",,,"Terrestrial",,,,,"TENEUR",,,
182,"BLAD","Blattodea: Blattidae (Adult)","Cockroach",0,0,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Blattodea","Blattoidea","Blattidae",,,"Terrestrial","Adult",,,,"TEBLAT",,,
183,"CORE","Hemiptera: Coreidae","Leaf-footed bug",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Hemiptera","Coreoidea ","Coreidae",,,"Terrestrial",,,,,"TEHEMI",,,
184,"ARCT","Lepidoptera: Arctiidae now Erebidae","Tiger moths",0,0,0,1,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuoidea","Arctiidae now Erebidae",,,"Terrestrial",,,,,"TELEPI",,,
185,"GSF","Perciformes: Centrarchidae: Lepomis cyanellus","Green sunfish",1,0,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Perciformes",,"Centrarchidae","Lepomis","cyanellus","Aquatic",,,,,"AQMISC",,,
195,"PENT","Hemiptera: Pentatomidae","Shield bug",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Hemiptera","Pentatomoidea","Pentatomidae",,,"Terrestrial",,,,,"TEHEMI",,,
196,"HYTR","Coleoptera: Hydrophilidae: Hydrophilus triangularis (Adult)","giant water loving beetle",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Hydrophiloidea","Hydrophilidae","Hydrophilus","triangularis","Aquatic","Adult","CollectorGatherer","5",,"AQCOLE",,,
197,"CICI","Coleoptera: Cicindelinae (Subfamily) (Adult)","Tiger beetle",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera",,"Cicindelinae (Subfamily)",,,"Terrestrial","Adult",,,,"TECOLE",,,
198,"PSEU","Pseudoscorpiones (Adult)","Pseudoscorpion",0,0,1,0,1,0,0,0,,,"Animalia","Arthropoda","Arachnida","Pseudoscorpiones",,,,,"Terrestrial","Adult",,,,"TEARAC",,,
199,"MORD","Coleoptera: Mordellidae (Adult)","Tumbling flower beetles",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionoidea","Mordellidae",,,"Terrestrial","Adult",,,,"TECOLE",,,
200,"EMPP","Diptera: Empididae (Pupa)","",0,1,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera","Empidoidea","Empididae",,,"Aquatic","Pupa","Predator","6","Aquatic?","AQDIPT",,,
201,"SMB","Perciformes: Centrarchidae: Micropterus dolomieu","Smallmouth Bass",1,0,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Perciformes",,"Centrarchidae","Micropterus","dolomieu","Aquatic",,,,,"AQMISC",,,
202,"OPST","Hemiptera: Cicadellidae: Opsius stactogalus","Tamarisk leaf hopper",0,0,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadoidea","Cicadellidae","Opsius","stactogalus","Terrestrial",,,,,"TEOPST",,,
203,"MELA","Coleoptera: Melandryidae (Adult)","false darkling beetles",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionoidea","Melandryidae",,,"Terrestrial","Adult",,,,"TECOLE",,,
204,"HYLI","Lepidoptera: Sphingidae: Hyles lineata","White-lined sphinx moth",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Lepidoptera"," Bombycoidea","Sphingidae","Hyles","lineata","Terrestrial",,,,,"TEHYLI",,,
205,"ELMI","Orthoptera: Tridactylidae: Ellipes  minuta","Smaller sand cricket",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Orthoptera",,"Tridactylidae","Ellipes ","minuta","Terrestrial",,,,,"TEORTH",,,
206,"BUSI","Lepidoptera: Erebidae: Bulia similaris","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuoidea","Erebidae","Bulia","similaris","Terrestrial",,,,"formerly noctuidae","TELEPI",,,
207,"PLEL","Plecoptera","Stonefly (generic larva)",0,0,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Plecoptera",,,,,"Aquatic",,,,,"AQPLEC",,,
208,"STB","Perciformes: Moronidae: Morone saxatilis","Striped bass",1,1,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Perciformes",,"Moronidae","Morone","saxatilis","Aquatic",,,,,"AQMISC",,,
209,"MECO","Megaloptera: Corydalidae","Dobsonfly",0,0,1,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Megaloptera",,"Corydalidae",,,"Aquatic",,"Predator","4",,"AQMECO",,,
210,"PROT","Protura","Protura",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Entognatha","Protura",,,,,"Terrestrial",,,,,"TEPROT",,,
211,"MAQU","Lepidoptera: Sphingidae: Manduca quinquemaculatus","Five spotted hawk moth",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Lepidoptera"," Bombycoidea","Sphingidae","Manduca","quinquemaculatus","Terrestrial",,,,,"TEMAQU",,,
212,"TERM","Isoptera","Termite",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Isoptera",,,,,"Terrestrial",,,,,"TETERM",,,
213,"LEPL","Lepidoptera (Larva)","caterpillars",0,0,0,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Lepidoptera",,,,,"Aquatic","Larva","Shredder","5","Aquatic?","AQLEPI",,,
214,"TAML","Coleoptera: Chrysomelidae: Diorhabda elongata-complex (Larva)","Tamarisk Beetle Larvae",0,1,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomeloidea","Chrysomelidae","Diorhabda","elongata-complex","Terrestrial","Larva",,,,"TECOLE",,,
215,"TRIP","Trichoptera (Pupa)","",0,0,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,,,,"Aquatic","Pupa",,,,"AQTRIC",,,
216,"CERP","Diptera: Ceratopogonidae (Pupa)","",0,1,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Ceratopogonidae",,,"Aquatic","Pupa","Predator","6",,"AQDIPT",,,
217,"EPHP","Ephemeroptera (Pupa)","",1,0,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Ephemeroptera",,,,,"Aquatic","Pupa",,,,"AQEPHE",,,
218,"LEPA","Lepidoptera","Butterflies and moths (generic)",0,0,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Lepidoptera",,,,,"Terrestrial",,"Herbivore",,,"TELEPI",,,
219,"RHCO","Trichoptera: Rhyacophilidae: Rhyacophila coloradensis (Adult)","free roaming caddis",0,0,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Rhyacophilidae","Rhyacophila","coloradensis","Aquatic","Adult","Predator","1",,"AQTRIC",,,
220,"RHSP","Trichoptera: Rhyacophilidae: Rhyacophila spp. (Adult)","Free roaming caddis fly",0,0,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Rhyacophilidae","Rhyacophila",,"Aquatic","Adult","Predator","1",,"AQTRIC",,,
221,"CHSP","Trichoptera: Philopotamidae: Chimarra spp. (Adult)","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Philopotamidae","Chimarra",,"Aquatic","Adult","CollectorFilterer","4",,"AQTRIC",,,
222,"HYOS","Trichoptera: Hydropsychidae: Hydropsyche oslari (Adult)","",0,0,1,1,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydropsychidae","Hydropsyche","oslari","Aquatic","Adult","CollectorFilterer","4",,"AQTRIC",,,
223,"POSP","Trichoptera: Polycentropodidae: Polyplectropus spp. (Adult)","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Polycentropodidae","Polyplectropus",,"Aquatic","Adult",,"6",,"AQTRIC",,,
224,"ALSP","Coleoptera: Tenebrionidae: Alleculinae spp. (Adult)","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionoidea","Tenebrionidae","Alleculinae",,"Terrestrial","Adult",,,,"TECOLE",,,
225,"LASP","Coleoptera: Lampyridae (Adult)","Lightning Bug",0,0,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Coleoptera","Elateroidea","Lampyridae",,,"Terrestrial","Adult",,,,"TECOLE",,,
226,"FLEA","Siphonaptera","Flea",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Siphonaptera",,,,,"Terrestrial",,,,,"TEFLEA",,,
227,"AEMU","Odonata: Aeshnidae: Aeshna multicolor","Blue Eyed Darner",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Odonata","Anisoptera (Suborder)","Aeshnidae","Aeshna","multicolor","Aquatic",,"Predator","5",,"AQODON",,,
228,"NOTO","Hemiptera: Notonectidae","backswimmers",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Hemiptera","Notonectoidea","Notonectidae",,,"Aquatic",,,,,"AQHEMI",,,
229,"LESP","Trichoptera: Leptoceridae (Adult)","long horned caddis fly",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Leptoceridae",,,"Aquatic","Adult","CollectorGatherer","4",,"AQTRIC",,,
230,"CLSP","Hemiptera: Clastopteridae","spittle bugs",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopoidea","Clastopteridae",,,"Terrestrial",,,,,"TEHEMI",,,
231,"CESP","Scorpiones: Buthidae: Centruroides sculpturatus","AZ Bark Scorpion",0,0,1,0,0,0,1,0,,,"Animalia","Arthropoda","Arachnida","Scorpiones",,"Buthidae","Centruroides","sculpturatus","Terrestrial",,"PredatorWanderer",,,"TEARAC",,,
232,"HYOC","Trichoptera: Hydropsychidae: Hydropsyche occidentalis (Adult)","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydropsychidae","Hydropsyche","occidentalis","Aquatic","Adult","CollectorFilterer","4",,"AQTRIC",,,
233,"POHA","Trichoptera: Polycentropodidae: Polycentropus halidus (Adult)","caddis",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Polycentropodidae","Polycentropus","halidus","Aquatic","Adult","Predator","6",,"AQTRIC",,,
234,"CHRI","Trichoptera: Philopotamidae: Chimarra ridleyi (Adult)","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Philopotamidae","Chimarra","ridleyi","Aquatic","Adult","CollectorFilterer","4",,"AQTRIC",,,
235,"AGSP","Trichoptera: Sericostomatidae: Agarodes spp. (Adult)","bushtailed caddisfly",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Sericostomatidae","Agarodes",,"Aquatic","Adult",,"3",,"AQTRIC",,,
236,"NESP","Trichoptera: Leptoceridae: Nectopsyche spp. (Adult)","long-horned caddisfly",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Leptoceridae","Nectopsyche",,"Aquatic","Adult","CollectorGatherer","4",,"AQTRIC",,,
237,"PSSP","Trichoptera: Psychomyiidae: Psychomyia spp. (Adult)","Net-Tube Caddis Flies",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Psychomyiidae","Psychomyia",,"Aquatic","Adult","CollectorGatherer","2",,"AQTRIC",,,
238,"HYPA","Trichoptera: Hydropsychidae (Adult)","Net-spinning caddisfly",0,0,1,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydropsychidae",,,"Aquatic","Adult","CollectorFilterer","4",,"AQTRIC",,,
239,"RHYA","Trichoptera: Rhyacophilidae (Adult)","",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Rhyacophilidae",,,"Aquatic","Adult","Predator","1",,"AQTRIC",,,
